country,COL,COL,COL,COL,COL,COL,COL,COL,COL
subject,BSCICP03,CSCICP03,LOLITOAA,LOLITONO,LOLITOTR_GYSA,LOLITOTR_STSA,LORSGPNO,LORSGPRT,LORSGPTD
measure,,,,,,,,,
unit,Index,Index,Index,Index,Percentage,Index,Index,Index,Index
powercode,Units,Units,Units,Units,Units,Units,Units,Units,Units
reference_period,,,,,,,,,
time,,,,,,,,,
2011-09,101.5618,102.4153,101.0152,100.5199,4.200943,86.46975,100.71,100.7914,85.60076
2011-10,101.5198,102.3609,100.9206,100.4717,3.992066,86.71236,100.7371,100.8314,85.92139
2011-11,101.7516,102.6361,100.8768,100.4494,3.955756,86.99866,100.7414,100.8377,86.24247
2011-12,101.8283,103.068,100.8151,100.4179,3.976212,87.26955,100.7272,100.8168,86.56393
2012-01,101.7203,103.2619,100.6746,100.3462,3.920378,87.47174,100.6915,100.764,86.88564
2012-02,101.5367,103.0743,100.5117,100.2631,3.778308,87.65379,100.6262,100.6676,87.20753
2012-03,101.3035,102.848,100.3946,100.2034,3.60055,87.87491,100.5233,100.5157,87.5295
2012-04,101.0543,102.7291,100.3474,100.1793,3.453131,88.1566,100.3814,100.3063,87.85144
2012-05,100.7327,102.5496,100.3284,100.1696,3.322364,88.46285,100.2049,100.0457,88.17329
2012-06,100.4623,102.271,100.2913,100.1507,3.273049,88.75276,100.0063,99.75236,88.49495
2012-07,100.2193,102.145,100.2352,100.122,3.348141,89.02521,99.81059,99.46347,88.81635
2012-08,100.0596,102.1306,100.1962,100.1021,3.49745,89.3123,99.647,99.22194,89.13739
2012-09,99.96604,102.3911,100.1894,100.0986,3.651734,89.6274,99.53984,99.06374,89.45799
2012-10,99.8616,102.563,100.1925,100.1002,3.734743,89.95085,99.49814,99.00217,89.77805
2012-11,99.76342,102.5131,100.2196,100.1141,3.789341,90.29533,99.52348,99.03958,90.09747
2012-12,99.57599,102.2504,100.2433,100.1262,3.857672,90.63612,99.61316,99.17198,90.41611
2013-01,99.20197,101.9334,100.217,100.1127,3.954444,90.93076,99.75842,99.38644,90.73386
2013-02,98.86604,101.5701,100.1934,100.1007,4.076121,91.22667,99.94646,99.66406,91.05059
2013-03,98.88927,101.5833,100.2363,100.1226,4.218718,91.5821,100.1585,99.97706,91.36616
2013-04,99.07513,101.9628,100.3695,100.1905,4.381479,92.01917,100.3644,100.2811,91.68042
2013-05,99.25665,102.2421,100.5377,100.2764,4.549939,92.48785,100.5343,100.5319,91.99322
2013-06,99.29386,102.4172,100.6945,100.3564,4.724077,92.94551,100.6501,100.7029,92.30441
