country,G4E,G4E,G4E,G4E,G4E,G4E,G4E,G4E,G4E
subject,LOLITOAA,LOLITONO,LOLITOTR_GYSA,LOLITOTR_STSA,LORSGPNO,LORSGPOR_GYSA,LORSGPOR_IXOBSA,LORSGPRT,LORSGPTD
measure,,,,,,,,,
unit,Index,Index,Percentage,Index,Index,Percentage,Index,Index,Index
powercode,Units,Units,Units,Units,Units,Units,Units,Units,Units
reference_period,,,,,,,2010=100,,
time,,,,,,,,,
1971-10,99.4496,99.57496,4.777087,42.61103,100.1654,3.096051,42.8422,99.98708,42.84686
1971-11,99.69812,99.75236,5.078701,42.85658,100.082,3.20875,42.93895,99.88763,42.98635
1971-12,100.0023,99.97511,5.413208,43.12605,99.99211,3.377181,43.03188,99.78181,43.12503
1972-01,100.3402,100.2265,5.771742,43.41005,99.91285,3.561971,43.13007,99.69076,43.26289
1972-02,100.7026,100.4984,6.146243,43.70481,99.85767,3.714128,43.24081,99.63127,43.39989
1972-03,101.0888,100.7888,6.529781,44.01003,99.83559,3.798174,43.36891,99.61423,43.536
1972-04,101.4766,101.0807,6.884831,44.31603,99.84881,3.817827,43.51499,99.64085,43.67118
1972-05,101.8314,101.3492,7.171811,44.60764,99.89693,3.799393,43.67796,99.70844,43.80539
1972-06,102.1398,101.5841,7.383844,44.87878,99.97861,3.779711,43.85627,99.81322,43.93859
1972-07,102.4126,101.7928,7.524839,45.134,100.091,3.796978,44.0479,99.95039,44.07076
1972-08,102.6618,101.9832,7.622273,45.37839,100.2323,3.885038,44.25177,100.1171,44.20184
1972-09,102.893,102.159,7.658656,45.61432,100.4026,4.06519,44.4682,100.3135,44.3318
1972-10,103.1092,102.3219,7.620302,45.84296,100.6026,4.33289,44.69851,100.5414,44.46059
1972-11,103.2952,102.4611,7.489537,46.05745,100.8309,4.668224,44.94344,100.8008,44.58818
1972-12,103.4388,102.5671,7.255812,46.25218,101.0795,5.039774,45.20059,101.0839,44.71453
1973-01,103.5264,102.6292,6.929989,46.42082,101.3318,5.403354,45.46054,101.373,44.83959
1973-02,103.4774,102.5834,6.440352,46.52689,101.5669,5.712539,45.71096,101.6442,44.96334
1973-03,103.3816,102.5003,5.881109,46.61037,101.7673,5.930231,45.94078,101.8777,45.08575
1973-04,103.2495,102.3885,5.288177,46.6758,101.9258,6.048909,46.14717,102.0644,45.2068
1973-05,103.0869,102.2529,4.704973,46.72564,102.0424,6.072982,46.33052,102.2033,45.32647
1973-06,102.8929,102.0946,4.14396,46.75943,102.1214,6.01201,46.49292,102.2983,45.44475
1973-07,102.6551,101.9065,3.577755,46.77133,102.1707,5.880413,46.6381,102.3575,45.56164
1973-08,102.3624,101.6824,2.980245,46.75621,102.1973,5.688827,46.76918,102.3878,45.67715
1973-09,101.996,101.4097,2.325585,46.70531,102.2048,5.440825,46.88764,102.3929,45.7913
1973-10,101.5722,101.1002,1.627993,46.6258,102.1932,5.134247,46.99344,102.3731,45.9041
1973-11,101.1148,100.771,0.92793,46.52858,102.1616,4.767674,47.0862,102.3279,46.0156
1973-12,100.6643,100.451,0.2794245,46.43226,102.1116,4.351091,47.16731,102.2605,46.12582
1974-01,100.2673,100.1727,-0.2558718,46.35842,102.0498,3.916553,47.24102,102.1801,46.23483
1974-02,99.9362,99.94319,-0.5882839,46.31311,101.9835,3.502919,47.31217,102.0964,46.34268
1974-03,99.63485,99.73464,-0.8421342,46.27982,101.9144,3.138494,47.38263,102.0126,46.44943
1974-04,99.32207,99.51601,-1.069474,46.23954,101.8354,2.818648,47.4479,101.9196,46.55515
1974-05,98.95523,99.25536,-1.318495,46.17245,101.7302,2.521359,47.49868,101.7982,46.65993
1974-06,98.49729,98.92507,-1.626268,46.06113,101.5771,2.215253,47.52285,101.6225,46.76386
1974-07,97.94292,98.52191,-1.986402,45.90292,101.3535,1.866213,47.50846,101.3673,46.86702
1974-08,97.3259,98.07077,-2.35359,45.7135,101.0416,1.447773,47.44629,101.0133,46.96951
1974-09,96.71021,97.6188,-2.645116,45.52289,100.6391,0.9543896,47.33513,100.5581,47.07145
1974-10,96.17039,97.22166,-2.802076,45.36639,100.1727,0.4155753,47.18873,100.0313,47.17293
1974-11,95.78265,96.93542,-2.768156,45.28037,99.68134,-0.1247765,47.02745,99.47613,47.27409
1974-12,95.58532,96.78808,-2.540767,45.28357,99.20218,-0.6287088,46.87077,98.93351,47.37502
1975-01,95.5806,96.78191,-2.162298,45.37771,98.75828,-1.079505,46.73105,98.42917,47.47586
1975-02,95.73344,96.89194,-1.682808,45.54681,98.36523,-1.469423,46.61696,97.98077,47.5767
1975-03,95.99897,97.08585,-1.1127,45.77007,98.03529,-1.787606,46.53562,97.60274,47.67767
1975-04,96.35062,97.34468,-0.4377907,46.03521,97.7778,-2.012463,46.49302,97.30694,47.77884
1975-05,96.76959,97.65464,0.366875,46.33359,97.60152,-2.113363,46.49486,97.10455,47.88032
1975-06,97.24162,98.0059,1.327774,46.65866,97.5115,-2.058606,46.54454,97.00195,47.98219
1975-07,97.74819,98.38451,2.436587,47.00175,97.50495,-1.826341,46.6408,96.9957,48.08452
1975-08,98.2901,98.79031,3.663785,47.36341,97.57414,-1.405803,46.77929,97.07607,48.18736
1975-09,98.86224,99.21881,4.939527,47.74134,97.70774,-0.8059425,46.95364,97.2292,48.29078
1975-10,99.42051,99.63704,6.134527,48.11436,97.88664,-0.07488552,47.15339,97.43297,48.3948
1975-11,99.93685,100.023,7.129138,48.46883,98.0909,0.7235813,47.36773,97.66464,48.49946
1975-12,100.3794,100.353,7.836774,48.78916,98.30331,1.528884,47.58736,97.90491,48.60477
1976-01,100.7204,100.6068,8.217455,49.06165,98.51109,2.29929,47.80553,98.13979,48.71074
1976-02,100.9506,100.7777,8.297713,49.28144,98.70583,3.005217,48.0179,98.3604,48.81738
1976-03,101.0886,100.8797,8.149425,49.45728,98.88343,3.625079,48.22257,98.56301,48.92469
1976-04,101.1509,100.9257,7.822369,49.59697,99.04507,4.145913,48.42058,98.74982,49.03265
1976-05,101.1376,100.916,7.340027,49.70028,99.19529,4.559387,48.61474,98.92668,49.14125
1976-06,101.0469,100.8493,6.720215,49.76605,99.3411,4.864999,48.80894,99.10161,49.25046
1976-07,100.8966,100.7381,6.0065,49.80282,99.49177,5.074791,49.00772,99.28385,49.36027
1976-08,100.6943,100.5882,5.208261,49.81413,99.65342,5.203856,49.21361,99.47852,49.47065
1976-09,100.4618,100.4151,4.355534,49.81053,99.82331,5.26145,49.42408,99.68046,49.58156
1976-10,100.2261,100.2382,3.526103,49.80534,99.98314,5.247945,49.62798,99.86729,49.69297
1976-11,99.99817,100.0659,2.758116,49.80392,100.1084,5.157655,49.81079,100.01,49.80483
1976-12,99.77245,99.89471,2.075971,49.80354,100.1782,4.986684,49.9604,100.0847,49.91713
1977-01,99.55775,99.73099,1.514596,49.80855,100.1847,4.741928,50.07244,100.0833,50.0298
1977-02,99.36743,99.58491,1.095403,49.82564,100.1291,4.436555,50.14824,100.0089,50.14283
1977-03,99.20609,99.45978,0.8016481,49.85718,100.0203,4.086728,50.1933,99.87298,50.25617
1977-04,99.09522,99.3718,0.6378657,49.91404,99.87605,3.712882,50.21838,99.69751,50.36978
1977-05,99.05268,99.33489,0.6215131,50.00539,99.71811,3.335779,50.23642,99.50841,50.48363
1977-06,99.08437,99.3537,0.7593527,50.13438,99.56898,2.974635,50.26083,99.33236,50.59767
1977-07,99.18317,99.42294,1.025674,50.29765,99.45013,2.645825,50.30438,99.19456,50.71187
1977-08,99.32157,99.5226,1.383638,50.48137,99.37923,2.365045,50.37754,99.11539,50.82618
1977-09,99.48106,99.63845,1.79235,50.6762,99.36533,2.147254,50.48534,99.10446,50.94056
1977-10,99.64159,99.75508,2.202231,50.87195,99.40363,2.007066,50.62404,99.15409,51.05494
1977-11,99.78199,99.85631,2.580001,51.05772,99.48224,1.956858,50.78552,99.24809,51.16927
1977-12,99.90894,99.94678,2.938936,51.23679,99.58824,2.003366,50.96128,99.36973,51.28349
1978-01,100.0326,100.0343,3.280662,51.41425,99.71069,2.142,51.14499,99.50661,51.39752
1978-02,100.1776,100.1386,3.6163,51.60279,99.84087,2.360816,51.33215,99.65004,51.51131
1978-03,100.369,100.2784,3.96821,51.81525,99.97128,2.641758,51.51928,99.79341,51.62478
1978-04,100.6067,100.4537,4.314057,52.05173,100.094,2.956043,51.70286,99.93007,51.73785
1978-05,100.8841,100.6596,4.62863,52.30886,100.2028,3.271762,51.88004,100.0548,51.85046
1978-06,101.199,100.8937,4.903867,52.58558,100.2953,3.559225,52.04972,100.1657,51.96253
1978-07,101.5269,101.1375,5.119942,52.8691,100.3767,3.796305,52.21409,100.2674,52.07397
1978-08,101.8288,101.3628,5.265975,53.13907,100.4549,3.968066,52.37655,100.3667,52.18473
1978-09,102.0714,101.5445,5.326529,53.37793,100.5369,4.069976,52.54008,100.4696,52.29471
1978-10,102.224,101.6607,5.29149,53.56931,100.6255,4.111948,52.70568,100.5781,52.40384
1978-11,102.311,101.7284,5.21029,53.72562,100.7229,4.113909,52.87479,100.695,52.51206
1978-12,102.3643,101.7703,5.110081,53.86337,100.8353,4.101663,53.05154,100.8276,52.61929
1979-01,102.4126,101.8075,5.009655,53.99749,100.9757,4.105673,53.24484,100.9921,52.72545
1979-02,102.4805,101.8581,4.908053,54.14096,101.1547,4.150179,53.46252,101.2017,52.83048
1979-03,102.5554,101.9128,4.764499,54.28698,101.3699,4.241258,53.70435,101.4537,52.93433
1979-04,102.5983,101.9432,4.536822,54.41495,101.5964,4.351722,53.95282,101.7181,53.03691
1979-05,102.5757,101.9251,4.195824,54.50689,101.8007,4.442854,54.18499,101.9551,53.13819
1979-06,102.4656,101.8429,3.722072,54.55073,101.9594,4.484739,54.38401,102.1371,53.23811
1979-07,102.2852,101.7091,3.164203,54.55546,102.0732,4.477855,54.55216,102.2659,53.33662
1979-08,102.0681,101.5476,2.599843,54.53873,102.1555,4.43517,54.69954,102.359,53.43369
1979-09,101.829,101.37,2.078669,54.50834,102.2186,4.367438,54.83474,102.4316,53.52931
1979-10,101.5803,101.1858,1.642242,54.47088,102.2619,4.271163,54.95682,102.4817,53.62345
1979-11,101.3217,100.9949,1.261649,54.42609,102.2759,4.130807,55.05894,102.4965,53.71611
1979-12,101.0544,100.7988,0.9038779,54.37466,102.2487,3.923137,55.13283,102.4609,53.8073
1980-01,100.77,100.5909,0.5311331,54.31204,102.1715,3.622428,55.1736,102.3662,53.89701
1980-02,100.4571,100.3619,0.1086818,54.23208,102.0399,3.211733,55.1796,102.2099,53.98529
1980-03,100.1122,100.1083,-0.3530436,54.13283,101.8567,2.698327,55.15347,101.9973,54.07216
1980-04,99.7516,99.84182,-0.7969964,54.02314,101.6385,2.136579,55.10557,101.7477,54.15767
1980-05,99.42487,99.59828,-1.137825,53.92989,101.4064,1.593754,55.04856,101.4848,54.24186
1980-06,99.1621,99.40136,-1.324404,53.86961,101.1789,1.120818,54.99356,101.2287,54.3248
1980-07,98.96604,99.25491,-1.373716,53.84401,100.9669,0.7236604,54.94693,100.9912,54.40656
1980-08,98.82861,99.15305,-1.328001,53.84893,100.7764,0.3889551,54.9123,100.7785,54.48719
1980-09,98.74953,99.09423,-1.201839,53.88445,100.6113,0.1041344,54.89183,100.5944,54.56678
1980-10,98.7131,99.06611,-1.021569,53.94218,100.4739,-0.1274883,54.88676,100.4406,54.64541
1980-11,98.71921,99.06805,-0.784517,54.02226,100.3655,-0.2928752,54.89769,100.318,54.72315
1980-12,98.76375,99.0974,-0.495341,54.12263,100.2852,-0.3788859,54.92394,100.2251,54.80009
1981-01,98.83848,99.14797,-0.1534422,54.23892,100.2264,-0.3841793,54.96163,100.1546,54.87632
1981-02,98.92191,99.20471,0.230096,54.35947,100.1819,-0.3139324,55.00637,100.0984,54.95191
1981-03,98.99687,99.25539,0.6414701,54.47496,100.1461,-0.1782025,55.05518,100.0508,55.02695
1981-04,99.04578,99.28794,1.045196,54.57575,100.118,0.004263398,55.10792,100.0113,55.10154
1981-05,99.0584,99.29512,1.377515,54.65622,100.0986,0.2130053,55.16582,99.98206,55.17575
1981-06,99.05485,99.29191,1.627253,54.72749,100.0886,0.4295286,55.22977,99.96421,55.24969
1981-07,99.06205,99.29784,1.819621,54.80452,100.0851,0.6391999,55.29815,99.95456,55.32343
1981-08,99.08092,99.31343,1.96386,54.88792,100.0839,0.8303657,55.36827,99.94799,55.39706
